,Lineage,parent,MIN(collection_date),parent_date,gap,N,M,S,E
0,A.1,A,2020-02-21,2019-12-30,54,0.0014170846,0.0011136354,0.0018352765,0.0011998267
1,A.11,A,2020-03-20,2019-12-30,81,0.0015029329,0.0010177846,0.0017056986,0.0010536044
2,A.12,A,2020-04-10,2019-12-30,102,0.0010594608,0.0008259356,0.0013798585,0.0008894364
3,A.15,A,2020-04-20,2019-12-30,112,0.0009560929,0.0007532346,0.0011585327,0.0007572074
4,A.16,A,2020-02-15,2019-12-30,47,0.0021943764,0.0017864063,0.0027537970,0.0013334291
5,A.17,A,2020-01-25,2019-12-30,26,0.0041537942,0.0031707905,0.0049777618,0.0035929732
6,A.18,A,2020-06-21,2019-12-30,174,0.0006270116,0.0003418543,0.0006981044,0.0004981100
7,A.19,A,2020-06-04,2019-12-30,157,0.0003737627,0.0006571291,0.0006948357,0.0003653152
8,A.2,A,2020-02-17,2019-12-30,49,0.0016117171,0.0013099478,0.0030477595,0.0012336761
9,A.2.2,A.2,2020-03-17,2020-02-17,29,0.0048229512,0.0007116140,0.0046019281,0.0009374284
10,A.2.3,A.2,2020-03-12,2020-02-17,24,0.0033895134,0.0012050714,0.0057233120,0.0008307001
11,A.2.4,A.2,2020-02-04,2020-02-17,-13,0.0124370803,0.0021480564,0.0123159829,0.0024162958
12,A.2.5,A.2,2020-04-15,2020-02-17,58,0.0008096938,0.0004627705,0.0032489990,0.0008662317
13,A.2.5.1,A.2.5,2020-03-22,2020-04-15,-1,0.0580114334,0.0329930193,0.1038723385,0.0652680687
14,A.2.5.2,A.2.5,2020-04-12,2020-04-15,-3,0.0102881126,0.0131490884,0.0369741488,0.0202709355
15,A.2.5.3,A.2.5,2021-02-23,2020-04-15,314,0.0002243845,0.0003560628,0.0004404656,0.0002400669
16,A.21,A,2020-04-10,2019-12-30,102,0.0011008760,0.0004743755,0.0009152806,0.0003377887
17,A.22,A,2020-03-15,2019-12-30,76,0.0014428585,0.0010847441,0.0017099238,0.0011158846
18,A.23,A,2020-08-14,2019-12-30,228,0.0004522541,0.0004706722,0.0005388822,0.0002046024
19,A.23.1,A.23,2020-06-08,2020-08-14,-67,0.0011825010,0.0012428867,0.0015839935,0.0003385255
20,A.24,A,2020-07-10,2019-12-30,193,0.0005742210,0.0004271531,0.0006982749,0.0004394157
21,A.25,A,2020-05-29,2019-12-30,151,0.0006436946,0.0006988920,0.0007406093,0.0004983455
22,A.26,A,2020-03-31,2019-12-30,92,0.0011766130,0.0008960930,0.0014067588,0.0009218177
23,A.27,A,2020-06-23,2019-12-30,333,0.0001472418,0.0001228135,0.0002321202,0.0000926242
24,A.28,A,2020-07-28,2019-12-30,211,0.0004453525,0.0003530343,0.0004864131,0.0003928397
25,A.29,A,2020-08-21,2019-12-30,235,0.0003571222,0.0002916581,0.0005071995,0.0002774761
26,A.3,A,2020-03-03,2019-12-30,64,0.0008128679,0.0010622300,0.0014342883,0.0011857610
27,A.30,A,2021-02-13,2019-12-30,411,0.0009848736,0.0005886703,0.0010083813,0.0002063436
28,A.4,A,2020-03-11,2019-12-30,72,0.0014863045,0.0008023097,0.0014773804,0.0011785743
29,A.5,A,2020-03-01,2019-12-30,62,0.0013669657,0.0008885122,0.0017152314,0.0011260764
30,A.6,A,2020-01-23,2019-12-30,24,0.0039586980,0.0033058356,0.0048737287,0.0035007507
31,A.7,A,2020-05-06,2019-12-30,128,0.0025200264,0.0006560675,0.0010127817,0.0025754174
32,A.9,A,2020-03-21,2019-12-30,82,0.0013156089,0.0010171045,0.0015666783,0.0012236196
33,AA.1,B.1.177.15,2020-08-11,2020-09-01,-21,0.0019774401,0.0012552263,0.0032174701,0.0020943421
34,AA.2,B.1.177.15,2020-11-14,2020-09-01,74,0.0002805275,0.0001942678,0.0004968599,0.0013832424
35,AA.3,B.1.177.15,2020-10-21,2020-09-01,50,0.0004065096,0.0002355344,0.0012160725,0.0000756427
36,AA.4,B.1.177.15,2020-10-22,2020-09-01,51,0.0003987026,0.0002685910,0.0006468388,0.0011713686
37,AA.5,B.1.177.15,2020-12-05,2020-09-01,95,0.0002241347,0.0001312886,0.0003343115,0.0000322461
38,AA.6,B.1.177.15,2020-10-13,2020-09-01,42,0.0004349874,0.0004812975,0.0007503425,0.0000459418
39,AA.7,B.1.177.15,2020-11-04,2020-09-01,64,0.0002180932,0.0001840112,0.0005895064,0.0000429152
40,AA.8,B.1.177.15,2020-11-25,2020-09-01,85,0.0002411542,0.0001504854,0.0006432630,0.0000227007
41,AB.1,B.1.160.16,2020-12-01,2020-09-30,62,0.0006605372,0.0004934734,0.0011689417,0.0016351210
42,AC.1,B.1.1.405,2020-10-21,2020-09-14,37,0.0000592961,0.0001049116,0.0025922148,0.0006840370
43,AD.1,B.1.1.315,2020-11-02,2020-08-01,93,0.0001723061,0.0000218149,0.0008768496,0.0003126106
44,AD.2,B.1.1.315,2020-07-21,2020-08-01,-11,0.0031361803,0.0008274443,0.0042264183,0.0024656850
45,AD.2.1,AD.2,2020-12-04,2020-07-21,136,0.0000000000,0.0000000000,0.0000000000,0.0000000000
46,AE.1,B.1.1.306,2020-05-02,2020-03-01,68,0.0007855898,0.0014606997,0.0022377129,0.0005039017
47,AE.2,B.1.1.306,2020-06-23,2020-03-01,114,0.0004709291,0.0002336661,0.0004616589,0.0004999829
48,AE.3,B.1.1.306,2020-06-04,2020-03-01,95,0.0006004586,0.0002835421,0.0012333413,0.0006138448
49,AE.4,B.1.1.306,2020-06-23,2020-03-01,114,0.0006852165,0.0002540055,0.0004570795,0.0010242583
50,AE.5,B.1.1.306,2020-06-28,2020-03-01,119,0.0004537633,0.0008978212,0.0004556552,0.0004368478
51,AE.6,B.1.1.306,2020-10-11,2020-03-01,224,0.0004716557,0.0001189193,0.0002372148,0.0002544556
52,AE.7,B.1.1.306,2020-07-09,2020-03-01,130,0.0004129686,0.0002049072,0.0004109847,0.0004384465
53,AE.8,B.1.1.306,2020-07-24,2020-03-01,145,0.0003134212,0.0001526039,0.0002563239,0.0003382890
54,AF.1,B.1.1.305,2020-10-16,2020-04-10,189,0.0004239805,0.0002668606,0.0004640350,0.0005615449
55,AG.1,B.1.1.297,2020-09-11,2020-07-16,57,0.0003177137,0.0005501425,0.0009827777,0.0008022060
56,AH.1,B.1.1.241,2021-01-05,2020-04-29,251,0.0002156547,0.0001934747,0.0003799562,0.0000665517
57,AH.2,B.1.1.241,2020-08-18,2020-04-29,111,0.0002981416,0.0003785679,0.0006917180,0.0001592694
58,AH.3,B.1.1.241,2020-10-23,2020-04-29,177,0.0001758337,0.0002772304,0.0004265086,0.0000993972
59,AJ.1,B.1.1.240,2020-11-08,2020-08-27,73,0.0003791251,0.0000162312,0.0011728578,0.0000191427
60,AK.1,B.1.1.232,2020-08-07,2020-03-28,132,0.0003996910,0.0002168785,0.0004614130,0.0002322889
61,AK.2,B.1.1.232,2020-09-19,2020-03-28,175,0.0002890100,0.0005228066,0.0004058540,0.0002074264
62,AL.1,B.1.1.231,2020-08-19,2020-03-13,159,0.0005960012,0.0002800841,0.0003972195,0.0003878198
63,AM.1,B.1.1.216,2020-11-09,2020-05-06,187,0.0003249906,0.0008139672,0.0005669764,0.0001131197
64,AM.2,B.1.1.216,2020-11-10,2020-05-06,188,0.0003275690,0.0000916682,0.0003397544,0.0001125180
65,AM.3,B.1.1.216,2020-10-30,2020-05-06,177,0.0003377547,0.0000973651,0.0002617935,0.0001195106
66,AM.4,B.1.1.216,2020-11-05,2020-05-06,183,0.0003202365,0.0000973068,0.0002719419,0.0001160097
67,AN.1,B.1.1.200,2020-07-07,2020-03-28,101,0.0004058775,0.0000248546,0.0005795874,0.0000243643
68,AP.1,B.1.1.70,2020-09-04,2020-03-06,182,0.0003051637,0.0001409861,0.0002663907,0.0001861765
69,AQ.1,B.1.1.39,2020-11-08,2020-07-01,130,0.0003626754,0.0002087836,0.0004537508,0.0005778423
70,AQ.2,B.1.1.39,2020-08-24,2020-07-01,54,0.0008872380,0.0005026271,0.0012405201,0.0013911019
71,AS.1,B.1.1.317,2020-10-21,2020-03-19,216,0.0001395466,0.0001666618,0.0004551218,0.0002629535
72,AS.2,B.1.1.317,2020-09-24,2020-03-19,189,0.0002634673,0.0001904707,0.0005356295,0.0003067421
73,AT.1,B.1.1.370,2021-01-18,2020-04-05,288,0.0002048137,0.0002534570,0.0005515789,0.0014469729
74,AU.1,B.1.466.2,2021-01-01,2020-08-06,148,0.0005008150,0.0001502690,0.0007486689,0.0002723854
75,AU.2,B.1.466.2,2021-01-03,2020-08-06,150,0.0003020194,0.0001413274,0.0004905619,0.0003805785
76,AU.3,B.1.466.2,2021-02-09,2020-08-06,187,0.0001770080,0.0005109968,0.0005358643,0.0000965438
77,AV.1,B.1.1.482,2020-05-12,2020-03-02,71,0.0003969394,0.0010193129,0.0011516365,0.0016621579
78,AW.1,B.1.1.464,2020-10-07,2020-03-28,193,0.0002607447,0.0001536574,0.0002737795,0.0002736559
79,AY.1,B.1.617.2,2021-04-01,2020-03-27,370,0.0011982660,0.0011846073,0.0006708967,0.0011800073
80,AY.10,B.1.617.2,2021-03-11,2020-03-27,349,0.0012770382,0.0012936663,0.0006928426,0.0013031035
81,AY.100,B.1.617.2,2020-05-27,2020-03-27,61,0.0072307182,0.0071161088,0.0036651396,0.0072764403
82,AY.101,B.1.617.2,2021-01-10,2020-03-27,289,0.0014990102,0.0015308896,0.0007899872,0.0015653431
83,AY.102,B.1.617.2,2020-08-11,2020-03-27,137,0.0033082232,0.0033141344,0.0019046225,0.0033464637
84,AY.102.1,AY.102,2021-03-20,2020-08-11,331,0.0000000000,0.0000000000,0.0000000000,0.0000000000
85,AY.102.2,AY.102,2021-07-12,2020-08-11,335,0.0000000000,0.0000000000,0.0000000000,0.0000000000
86,AY.103,B.1.617.2,2020-05-07,2020-03-27,41,0.0107834864,0.0105987301,0.0054021093,0.0107629837
87,AY.103.1,AY.103,2021-07-31,2020-05-07,450,0.0000000000,0.0000000000,0.0000000000,0.0000000000
88,AY.103.2,AY.103,2021-09-01,2020-05-07,482,0.0000000000,0.0000000000,0.0000000000,0.0000000000
89,AY.104,B.1.617.2,2021-02-12,2020-03-27,430,0.0010404915,0.0009907102,0.0005173340,0.0009920415
90,AY.105,B.1.617.2,2021-02-02,2020-03-27,404,0.0010732095,0.0010720309,0.0005219192,0.0010967675
91,AY.106,B.1.617.2,2021-03-06,2020-03-27,344,0.0012534203,0.0012700160,0.0006733845,0.0012848114
92,AY.107,B.1.617.2,2021-01-05,2020-03-27,284,0.0015501613,0.0015318592,0.0007352930,0.0015399597
93,AY.108,B.1.617.2,2020-08-11,2020-03-27,137,0.0030728207,0.0032339654,0.0015449256,0.0032422312
94,AY.109,B.1.617.2,2020-09-11,2020-03-27,168,0.0026331104,0.0025763433,0.0012238574,0.0026737051
95,AY.11,B.1.617.2,2021-04-20,2020-03-27,389,0.0011661415,0.0011734357,0.0006607868,0.0011879490
96,AY.110,B.1.617.2,2021-04-14,2020-03-27,383,0.0011621058,0.0011538635,0.0005869402,0.0011622698
97,AY.111,B.1.617.2,2021-02-05,2020-03-27,315,0.0014257156,0.0014128590,0.0007763379,0.0014536353
98,AY.112,B.1.617.2,2020-08-11,2020-03-27,137,0.0031509526,0.0032051639,0.0015307175,0.0032300527
99,AY.112.1,AY.112,2021-08-08,2020-08-11,362,0.0000000000,0.0000000000,0.0000000000,0.0000000000
100,AY.112.2,AY.112,2021-01-10,2020-08-11,152,0.0000000000,0.0000000000,0.0000000000,0.0000000000
101,AY.112.3,AY.112,2021-08-02,2020-08-11,377,0.0000000000,0.0000000000,0.0000000000,0.0000000000
102,AY.113,B.1.617.2,2020-12-16,2020-03-27,264,0.0016711809,0.0016506413,0.0008476521,0.0016885416
103,AY.114,B.1.617.2,2021-05-17,2020-03-27,416,0.0010447395,0.0010542973,0.0005195471,0.0010649885
104,AY.116,B.1.617.2,2021-01-21,2020-03-27,300,0.0014113521,0.0013930857,0.0007837215,0.0014481010
105,AY.116.1,AY.116,2021-03-23,2021-01-21,61,0.0000000000,0.0000000000,0.0000000000,0.0000000000
106,AY.117,B.1.617.2,2020-05-11,2020-03-27,45,0.0098522492,0.0094845616,0.0050409522,0.0099014531
107,AY.118,B.1.617.2,2020-05-24,2020-03-27,58,0.0074848654,0.0075316348,0.0038804174,0.0074305843
108,AY.119,B.1.617.2,2020-06-04,2020-03-27,69,0.0063837885,0.0063252305,0.0032572028,0.0063898678
109,AY.119.1,AY.119,2020-11-09,2020-06-04,158,0.0000000000,0.0000000000,0.0000000000,0.0000000000
110,AY.119.2,AY.119,2021-01-11,2020-06-04,221,0.0000000000,0.0000000000,0.0000000000,0.0000000000
