,Lineage,parent,MIN(collection_date),parent_date,gap,N,M,S,E
0,B.1.637.1,B.1.637,2021-09-21,2020-05-29,480,0.0000572506,0.0001019854,0.0001454053,0.0001868913
1,AY.46.6.1,AY.46.6,2021-10-17,2020-08-11,432,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2,AY.29.1,AY.29,2021-03-09,2021-01-28,40,0.0000000000,0.0000000000,0.0000000000,0.0000000000
3,AY.29.2,AY.29,2021-07-16,2021-01-28,169,0.0000000000,0.0000000000,0.0000000000,0.0000000000
4,B.1.240.1,B.1.240,2020-08-04,2020-03-22,135,0.0003402877,0.0003567294,0.0005725315,0.0003750392
5,B.1.240.2,B.1.240,2020-08-24,2020-03-22,155,0.0002963796,0.0003106998,0.0004986564,0.0003266471
6,W.1,B.1.177.53,2020-10-02,2020-08-03,60,0.0005274396,0.0003383764,0.0007682313,0.0004985130
7,W.2,B.1.177.53,2020-09-23,2020-08-03,51,0.0006205171,0.0003980899,0.0009038015,0.0005864859
8,W.3,B.1.177.53,2020-08-18,2020-08-03,15,0.0021097583,0.0013535057,0.0030729251,0.0019940522
9,W.4,B.1.177.53,2020-06-02,2020-08-03,-61,0.0005187930,0.0003328293,0.0007556373,0.0004903407
10,A.23.1,A.23,2020-06-08,2020-08-14,-67,0.0002720907,0.0010533008,0.0006908732,0.0007019127
11,BA.2.10.1,BA.2.10,2021-12-23,2020-04-03,629,0.0000000000,0.0000000000,0.0000000000,0.0000000000
12,BA.2.10.2,BA.2.10,2021-12-30,2020-04-03,643,0.0000000000,0.0000000000,0.0000000000,0.0000000000
13,BA.2.10.3,BA.2.10,2021-12-26,2020-04-03,632,0.0000000000,0.0000000000,0.0000000000,0.0000000000
14,BA.2.10.4,BA.2.10,2022-04-20,2020-04-03,747,0.0000000000,0.0000000000,0.0000000000,0.0000000000
15,B.1.415.1,B.1.415,2021-05-07,2020-03-16,417,0.0000380526,0.0000511127,0.0001297633,0.0000000000
16,AK.1,B.1.1.232,2020-08-07,2020-03-28,132,0.0002952067,0.0001955346,0.0004011328,0.0002025644
17,AK.2,B.1.1.232,2020-09-19,2020-03-28,175,0.0002226702,0.0001474890,0.0003025687,0.0001527915
18,BA.2.13.1,BA.2.13,2022-04-09,2022-01-11,88,0.0000000000,0.0000000000,0.0000000000,0.0000000000
19,AY.4.1,AY.4,2021-05-10,2020-05-11,364,0.0000000000,0.0000000000,0.0000000000,0.0000000000
20,AY.4.10,AY.4,2021-08-11,2020-05-11,457,0.0000000000,0.0000000000,0.0000000000,0.0000000000
21,AY.4.11,AY.4,2020-04-01,2020-05-11,-40,0.0000000000,0.0000000000,0.0000000000,0.0000000000
22,AY.4.12,AY.4,2021-07-21,2020-05-11,437,0.0000000000,0.0000000000,0.0000000000,0.0000000000
23,AY.4.13,AY.4,2021-06-08,2020-05-11,393,0.0000000000,0.0000000000,0.0000000000,0.0000000000
24,AY.4.14,AY.4,2021-07-14,2020-05-11,429,0.0000000000,0.0000000000,0.0000000000,0.0000000000
25,AY.4.15,AY.4,2021-07-01,2020-05-11,416,0.0000000000,0.0000000000,0.0000000000,0.0000000000
26,AY.4.16,AY.4,2021-08-21,2020-05-11,467,0.0000000000,0.0000000000,0.0000000000,0.0000000000
27,AY.4.17,AY.4,2021-08-04,2020-05-11,450,0.0000000000,0.0000000000,0.0000000000,0.0000000000
28,AY.4.2,AY.4,2021-01-01,2020-05-11,235,0.0000000000,0.0000000000,0.0000000000,0.0000000000
29,AY.4.3,AY.4,2021-06-22,2020-05-11,407,0.0000000000,0.0000000000,0.0000000000,0.0000000000
30,AY.4.4,AY.4,2021-01-19,2020-05-11,253,0.0000000000,0.0000000000,0.0000000000,0.0000000000
31,AY.4.5,AY.4,2020-12-04,2020-05-11,245,0.0000000000,0.0000000000,0.0000000000,0.0000000000
32,AY.4.6,AY.4,2020-06-11,2020-05-11,31,0.0000000000,0.0000000000,0.0000000000,0.0000000000
33,AY.4.7,AY.4,2021-03-16,2020-05-11,309,0.0000000000,0.0000000000,0.0000000000,0.0000000000
34,AY.4.8,AY.4,2021-06-29,2020-05-11,414,0.0000000000,0.0000000000,0.0000000000,0.0000000000
35,AY.4.9,AY.4,2020-08-11,2020-05-11,92,0.0000000000,0.0000000000,0.0000000000,0.0000000000
36,BA.2.38.1,BA.2.38,2022-01-22,2020-06-30,691,0.0000000000,0.0000000000,0.0000000000,0.0000000000
37,BA.2.38.2,BA.2.38,2021-11-02,2020-06-30,673,0.0000000000,0.0000000000,0.0000000000,0.0000000000
38,BA.2.38.3,BA.2.38,2022-04-03,2020-06-30,680,0.0000000000,0.0000000000,0.0000000000,0.0000000000
39,B.1.110.1,B.1.110,2020-03-18,2020-03-02,16,0.0030932020,0.0006627851,0.0023610304,0.0020862445
40,B.1.110.2,B.1.110,2020-04-03,2020-03-02,32,0.0015466010,0.0003313925,0.0011805152,0.0010431222
41,B.1.110.3,B.1.110,2020-03-15,2020-03-02,13,0.0038765081,0.0008856327,0.0029753714,0.0026371671
42,AU.1,B.1.466.2,2021-01-01,2020-08-06,148,0.0001857052,0.0000956775,0.0003312255,0.0002374649
