,Lineage,parent,MIN(collection_date),parent_date,gap,N,M,S,E
0,B.1.637.1,B.1.637,2021-09-21,2020-05-29,480,0.0001658887,0.0002101526,0.0002529116,0.0002926389
1,AY.46.6.1,AY.46.6,2021-10-17,2020-08-11,432,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2,AY.29.1,AY.29,2021-03-09,2021-01-28,40,0.0000000000,0.0000000000,0.0000000000,0.0000000000
3,AY.29.2,AY.29,2021-07-16,2021-01-28,169,0.0000000000,0.0000000000,0.0000000000,0.0000000000
4,B.1.240.1,B.1.240,2020-08-04,2020-03-22,135,0.0003366356,0.0003530835,0.0005689308,0.0003713918
5,B.1.240.2,B.1.240,2020-08-24,2020-03-22,155,0.0008597558,0.0005719082,0.0007181682,0.0006016815
6,W.1,B.1.177.53,2020-10-02,2020-08-03,60,0.0007032778,0.0005150307,0.0009431733,0.0006748244
7,W.2,B.1.177.53,2020-09-23,2020-08-03,51,0.0005879751,0.0003653996,0.0008714782,0.0005538580
8,W.3,B.1.177.53,2020-08-18,2020-08-03,15,0.0034311043,0.0024107287,0.0034095503,0.0025226653
9,W.4,B.1.177.53,2020-06-02,2020-08-03,-61,0.0013746921,0.0010813684,0.0012713481,0.0010512811
10,A.23.1,A.23,2020-06-08,2020-08-14,-67,0.0013195112,0.0021278249,0.0017443294,0.0017911823
11,BA.2.10.1,BA.2.10,2021-12-23,2020-04-03,629,0.0000000000,0.0000000000,0.0000000000,0.0000000000
12,BA.2.10.2,BA.2.10,2021-12-30,2020-04-03,643,0.0000000000,0.0000000000,0.0000000000,0.0000000000
13,BA.2.10.3,BA.2.10,2021-12-26,2020-04-03,632,0.0000000000,0.0000000000,0.0000000000,0.0000000000
14,BA.2.10.4,BA.2.10,2022-04-20,2020-04-03,747,0.0000000000,0.0000000000,0.0000000000,0.0000000000
15,B.1.415.1,B.1.415,2021-05-07,2020-03-16,417,0.0000380526,0.0000511127,0.0001297633,0.0000000000
16,AK.1,B.1.1.232,2020-08-07,2020-03-28,132,0.0003783626,0.0003324488,0.0004449612,0.0003508320
