Lineage,MIN(collection_date),数量
A,2019-12-30,2824
A.1,2020-02-21,3400
A.11,2020-03-20,21
A.12,2020-04-10,6
A.15,2020-04-20,63
A.16,2020-02-15,62
A.17,2020-01-25,12
A.18,2020-06-21,36
A.19,2020-06-04,128
A.2,2020-02-17,1532
A.2.2,2020-03-17,610
A.2.3,2020-03-12,207
A.2.4,2020-02-04,393
A.2.5,2020-04-15,2476
A.2.5.1,2020-04-14,243
A.2.5.2,2020-04-12,1136
A.2.5.3,2021-02-23,100
A.21,2020-04-10,371
A.22,2020-03-15,14
A.23,2020-08-14,102
A.23.1,2020-06-08,1348
A.24,2020-07-10,13
A.25,2020-05-29,56
A.26,2020-03-31,13
A.27,2020-11-26,834
A.28,2020-07-28,283
A.29,2020-08-21,174
A.3,2020-03-03,631
A.30,2021-02-13,4
A.4,2020-03-11,101
A.5,2020-03-01,533
A.6,2020-01-23,209
A.7,2020-05-06,17
A.9,2020-03-21,19
AA.1,2020-08-11,132
AA.2,2020-11-14,130
AA.3,2020-10-21,37
AA.4,2020-10-22,111
AA.5,2020-12-05,62
AA.6,2020-10-13,62
AA.7,2020-11-04,109
AA.8,2020-11-25,45
AB.1,2020-12-01,115
AC.1,2020-10-10,28
AD.1,2020-11-02,241
AD.2,2020-07-14,4533
AD.2.1,2020-12-04,21
AE.1,2020-05-02,96
AE.2,2020-06-23,15
AE.3,2020-06-04,32
AE.4,2020-05-25,25
AE.5,2020-06-28,48
AE.6,2020-10-11,29
AE.7,2020-07-09,16
AE.8,2020-07-24,1998
AF.1,2020-10-16,27
AG.1,2020-09-11,14
AH.1,2021-01-05,7
AH.2,2020-08-18,46
AH.3,2020-10-23,267
AJ.1,2020-11-08,22
AK.1,2020-08-07,79
AK.2,2020-09-19,22
AL.1,2020-08-19,514
AM.1,2020-11-09,9
AM.2,2020-11-10,6
AM.3,2020-10-30,30
AM.4,2020-11-05,182
AN.1,2020-07-07,54
AP.1,2020-09-04,662
AQ.1,2020-11-17,13
AQ.2,2020-08-24,9
AS.1,2020-10-21,83
AS.2,2020-09-24,65
AT.1,2021-01-18,197
AU.1,2021-01-01,826
AU.2,2021-01-03,471
AU.3,2021-02-09,630
AV.1,2020-05-12,167
AW.1,2020-10-07,365
AY.1,2021-03-31,3550
AY.10,2021-04-12,1340
AY.100,2020-05-27,93137
AY.101,2021-01-10,7240
AY.102,2021-03-12,2329
AY.102.1,2021-07-08,192
AY.102.2,2021-07-12,302
AY.103,2020-05-07,303801
AY.103.1,2021-07-31,171
AY.103.2,2021-06-29,577
AY.104,2021-02-12,738
AY.105,2021-02-08,1228
AY.106,2021-03-06,3691
AY.107,2021-01-05,4507
AY.108,2021-05-16,786
AY.109,2020-09-11,4313
AY.11,2021-03-31,690
AY.110,2021-04-14,4128
AY.111,2020-06-02,8994
AY.112,2020-08-11,31621
AY.112.1,2021-08-08,2
AY.112.2,2021-01-10,1357
AY.112.3,2021-08-23,287
AY.113,2020-12-16,13283
AY.114,2021-04-15,6593
AY.116,2021-01-21,3799
AY.116.1,2021-03-23,4735
AY.117,2020-05-11,15963
AY.118,2020-05-24,22888
AY.119,2020-06-04,37724
AY.119.1,2020-11-09,663
AY.119.2,2021-01-11,12787
AY.120,2020-10-26,32433
AY.120.1,2020-12-27,4292
AY.120.2,2021-03-10,780
AY.120.2.1,2021-06-06,2175
AY.121,2020-05-11,34322
AY.121.1,2021-01-02,3917
AY.122,2020-05-11,213653
AY.122.1,2021-01-11,4072
AY.122.2,2021-06-22,3410
AY.122.3,2021-10-04,1146
AY.122.4,2021-07-27,2095
AY.122.5,2021-08-08,4164
AY.122.6,2021-09-11,1498
AY.123,2021-02-12,2185
AY.123.1,2021-01-12,235
AY.124,2020-05-11,9736
AY.124.1,2021-06-21,974
AY.124.1.1,2021-06-26,438
AY.125,2020-08-11,29483
AY.125.1,2021-09-07,159
AY.126,2020-09-11,44994
AY.127,2020-09-14,27995
AY.127.1,2021-09-04,211
AY.127.2,2021-10-02,100
AY.127.3,2022-02-26,1
AY.128,2021-05-03,815
