Lineage,MIN(collection_date),counts
A,2019-12-30,2874
A.1,2020-02-21,3430
A.11,2020-03-20,21
A.12,2020-04-10,6
A.15,2020-04-20,63
A.16,2020-02-15,62
A.17,2020-01-25,12
A.18,2020-06-21,38
A.19,2020-06-04,128
A.2,2020-02-17,1529
A.2.2,2020-03-17,609
A.2.3,2020-03-12,204
A.2.4,2020-02-04,402
A.2.5,2020-04-15,2481
A.2.5.1,2020-03-22,236
A.2.5.2,2020-04-12,1133
A.2.5.3,2021-02-23,98
A.21,2020-04-10,365
A.22,2020-03-15,14
A.23,2020-08-14,105
A.23.1,2020-06-08,1371
A.24,2020-07-10,13
A.25,2020-05-29,57
A.26,2020-03-31,13
A.27,2020-06-23,836
A.28,2020-07-28,284
A.29,2020-08-21,175
A.3,2020-03-03,639
A.30,2021-02-13,4
A.4,2020-03-11,101
A.5,2020-03-01,532
A.6,2020-01-23,209
A.7,2020-05-06,17
A.9,2020-03-21,19
AA.1,2020-08-11,133
AA.2,2020-11-14,130
AA.3,2020-10-21,37
AA.4,2020-10-22,111
AA.5,2020-12-05,62
AA.6,2020-10-13,62
AA.7,2020-11-04,109
AA.8,2020-11-25,45
AB.1,2020-12-01,114
AC.1,2020-10-21,25
AD.1,2020-11-02,240
AD.2,2020-07-21,4519
AD.2.1,2020-12-04,25
AE.1,2020-05-02,99
AE.2,2020-06-23,16
AE.3,2020-06-04,33
AE.4,2020-06-23,24
AE.5,2020-06-28,48
AE.6,2020-10-11,29
AE.7,2020-07-09,16
AE.8,2020-07-24,1999
AF.1,2020-10-16,27
AG.1,2020-09-11,15
AH.1,2021-01-05,7
AH.2,2020-08-18,47
AH.3,2020-10-23,269
AJ.1,2020-11-08,22
AK.1,2020-08-07,79
AK.2,2020-09-19,22
AL.1,2020-08-19,515
AM.1,2020-11-09,9
AM.2,2020-11-10,6
AM.3,2020-10-30,30
AM.4,2020-11-05,178
AN.1,2020-07-07,54
AP.1,2020-09-04,663
AQ.1,2020-11-08,16
AQ.2,2020-08-24,9
AS.1,2020-10-21,83
AS.2,2020-09-24,65
AT.1,2021-01-18,196
AU.1,2021-01-01,832
AU.2,2021-01-03,473
AU.3,2021-02-09,625
AV.1,2020-05-12,167
AW.1,2020-10-07,365
AY.1,2021-04-01,3514
AY.10,2021-03-11,1392
AY.100,2020-05-27,93492
AY.101,2021-01-10,7232
AY.102,2020-08-11,12849
AY.102.1,2021-03-20,213
AY.102.2,2021-07-12,305
AY.103,2020-05-07,305792
AY.103.1,2021-07-31,172
AY.103.2,2021-09-01,575
AY.104,2021-02-12,788
AY.105,2021-02-02,1217
AY.106,2021-03-06,3753
AY.107,2021-01-05,4696
AY.108,2020-08-11,955
AY.109,2020-09-11,4405
AY.11,2021-04-20,680
AY.110,2021-04-14,4091
AY.111,2021-02-05,8564
AY.112,2020-08-11,21983
AY.112.1,2021-08-08,3
AY.112.2,2021-01-10,1470
AY.112.3,2021-08-02,280
AY.113,2020-12-16,13068
AY.114,2021-05-17,5512
AY.116,2021-01-21,4204
AY.116.1,2021-03-23,4800
AY.117,2020-05-11,16287
AY.118,2020-05-24,22752
AY.119,2020-06-04,37964
AY.119.1,2020-11-09,684
AY.119.2,2021-01-11,12596
AY.120,2020-10-26,33038
AY.120.1,2020-12-27,4348
AY.120.2,2021-03-10,791
AY.120.2.1,2021-06-06,2201
AY.121,2020-05-11,33747
AY.121.1,2021-01-02,3935
AY.122,2020-05-11,212634
AY.122.1,2021-01-11,4052
AY.122.2,2021-06-22,3391
AY.122.3,2021-10-04,1147
AY.122.4,2021-05-31,2106
AY.122.5,2021-08-08,4162
AY.122.6,2021-09-11,1503
AY.123,2021-01-12,2033
AY.123.1,2021-09-30,307
AY.124,2020-05-11,9423
AY.124.1,2021-06-21,971
AY.124.1.1,2021-06-26,439
AY.125,2020-08-11,29610
AY.125.1,2021-08-02,161
AY.126,2020-09-11,43925
AY.127,2020-09-14,28213
AY.127.1,2021-09-04,209
AY.127.2,2021-10-02,100
AY.127.3,2022-02-01,4
AY.128,2021-05-15,732
AY.129,2020-05-11,15101
AY.13,2021-01-11,7135
AY.131,2021-03-29,525
AY.132,2021-07-17,615
AY.133,2021-07-16,272
AY.134,2021-06-03,2927
AY.14,2021-03-30,14727
AY.15,2021-04-18,530
AY.16,2020-09-21,3714
AY.16.1,2021-05-04,542
AY.17,2021-02-02,1345
AY.18,2021-05-11,112
AY.19,2021-04-07,252
AY.2,2021-03-31,3444
AY.20,2020-09-22,37271
AY.20.1,2021-07-23,289
AY.21,2021-05-26,401
AY.22,2020-12-02,529
AY.23,2020-03-12,17763
AY.23.1,2021-08-22,2368
AY.23.2,2021-01-09,346
AY.24,2020-07-16,3417
AY.24.1,2021-07-19,521
AY.25,2020-04-28,141724
AY.25.1,2020-05-14,131864
AY.25.1.1,2021-07-26,163
AY.25.1.2,2021-08-03,547
AY.25.2,2020-07-31,934
AY.25.3,2020-09-18,4255
AY.26,2020-07-31,46291
AY.26.1,2021-06-25,154
AY.27,2021-04-06,22001
AY.28,2021-02-16,826
AY.29,2021-01-28,85298
AY.29.1,2021-03-09,5515
AY.29.2,2021-07-16,2617
AY.3,2020-05-07,166576
AY.3.1,2020-11-20,16742
AY.3.2,2021-08-04,468
AY.3.3,2021-08-05,1090
AY.3.4,2021-11-06,293
AY.30,2020-03-31,4041
AY.31,2021-06-30,34
AY.32,2021-04-16,2247
AY.33,2020-10-26,21687
AY.33.1,2021-04-23,523
AY.33.2,2021-04-13,793
AY.34,2020-05-09,12232
AY.34.1,2020-04-01,7800
AY.34.1.1,2021-07-14,2244
AY.34.2,2021-07-12,2023
AY.35,2021-01-11,1842
AY.36,2020-08-11,13676
AY.36.1,2021-04-13,4256
AY.37,2021-02-18,3566
AY.38,2021-03-18,1913
AY.39,2020-05-28,59657
AY.39.1,2021-01-06,22058
AY.39.1.1,2021-05-09,4717
AY.39.1.2,2021-06-25,7925
AY.39.1.3,2021-07-25,2337
AY.39.1.4,2021-06-22,7006
AY.39.2,2021-07-06,1916
AY.39.3,2021-08-06,109
AY.4,2020-05-11,852728
AY.4.1,2021-05-10,771
AY.4.10,2021-08-11,1870
AY.4.11,2020-04-01,1635
AY.4.12,2021-07-21,638
AY.4.13,2021-06-08,1625
AY.4.14,2021-07-14,784
AY.4.15,2021-07-01,2499
AY.4.16,2021-08-21,186
AY.4.17,2021-08-04,1176
AY.4.2,2021-01-01,86152
AY.4.2.1,2020-12-21,18308
AY.4.2.2,2021-01-08,29071
AY.4.2.3,2021-06-07,6197
AY.4.2.4,2021-08-01,217
AY.4.2.5,2021-10-22,802
AY.4.3,2021-06-22,2126
AY.4.4,2021-01-19,3355
AY.4.5,2020-12-04,16987
AY.4.6,2020-06-11,13617
AY.4.7,2021-03-16,3662
AY.4.8,2021-06-29,4556
AY.4.9,2020-08-11,2432
AY.40,2021-07-10,1938
AY.41,2020-08-11,5277
AY.42,2020-10-06,30248
AY.42.1,2021-07-12,449
AY.43,2020-05-01,313739
AY.43.1,2021-07-19,1069
AY.43.2,2021-07-04,1390
AY.43.3,2021-07-12,2338
AY.43.4,2020-10-28,2855
AY.43.5,2021-10-22,354
AY.43.6,2021-08-23,6447
AY.43.7,2021-08-31,207
AY.43.8,2021-01-12,4005
AY.43.9,2021-09-16,938
AY.44,2020-05-20,267999
AY.45,2020-07-11,8981
AY.46,2020-06-01,12969
AY.46.1,2021-06-25,1504
AY.46.2,2021-03-09,1775
AY.46.3,2021-06-21,1659
AY.46.4,2020-11-09,6380
AY.46.5,2021-02-06,11905
AY.46.6,2020-08-11,27027
AY.46.6.1,2021-10-17,184
AY.47,2020-05-21,38498
AY.48,2021-03-25,2105
AY.49,2021-04-10,243
AY.5,2020-11-15,64483
AY.5.1,2021-06-03,304
AY.5.2,2021-05-31,562
AY.5.3,2021-06-14,2474
AY.5.4,2021-04-25,4656
AY.5.5,2021-06-02,641
AY.5.6,2021-07-30,57
AY.5.7,2021-10-05,339
AY.50,2021-03-20,1306
AY.51,2021-03-16,1694
AY.52,2021-04-01,1045
AY.53,2021-02-18,4049
AY.54,2021-02-09,13469
AY.55,2021-01-29,1459
AY.56,2021-04-13,395
AY.57,2021-01-30,2520
AY.58,2021-03-16,1144
AY.59,2021-01-08,3202
AY.6,2021-03-09,28678
AY.60,2021-05-16,1063
AY.61,2021-04-10,1984
AY.62,2021-04-06,2327
AY.63,2021-06-10,2779
AY.64,2021-03-01,2118
AY.65,2020-07-16,2151
AY.66,2021-01-07,1873
AY.67,2021-02-13,2347
AY.68,2021-02-11,3011
AY.69,2021-05-13,11399
AY.7,2021-04-01,5550
AY.7.1,2021-02-09,10934
AY.7.2,2021-03-16,2286
AY.70,2021-01-07,5607
AY.71,2020-12-15,2106
AY.72,2021-04-04,1278
AY.73,2021-04-24,1474
AY.74,2020-09-19,5984
AY.75,2020-06-05,27521
AY.75.2,2021-04-17,351
AY.75.3,2021-05-17,481
AY.76,2021-05-04,397
AY.77,2021-03-04,1037
AY.78,2021-03-29,936
AY.79,2021-01-03,2468
AY.8,2021-04-20,1652
AY.80,2021-02-09,1304
AY.81,2021-04-10,695
AY.82,2020-06-08,648
